--- MusaX Trace Log: examples/fx_test.Z8A ---
T:47617 | CH:1 | PC:004 | NOTE E-4 wait:768
T:48385 | CH:0 | PC:00D | NOTE F-4 wait:768
T:48385 | CH:1 | PC:007 | NOTE G-4 wait:768
T:49153 | CH:0 | PC:000 | VOLUME val:10
T:49153 | CH:0 | PC:002 | INST id:0
T:49153 | CH:0 | PC:004 | NOTE C-4 wait:768
T:49153 | CH:1 | PC:000 | VOLUME val:8
T:49153 | CH:1 | PC:002 | INST id:0
T:49153 | CH:1 | PC:004 | NOTE E-4 wait:768
T:49921 | CH:0 | PC:007 | NOTE D-4 wait:768
T:49921 | CH:1 | PC:007 | NOTE G-4 wait:768
T:50689 | CH:0 | PC:00A | NOTE E-4 wait:768
T:50689 | CH:1 | PC:000 | VOLUME val:8
T:50689 | CH:1 | PC:002 | INST id:0
T:50689 | CH:1 | PC:004 | NOTE E-4 wait:768
T:51457 | CH:0 | PC:00D | NOTE F-4 wait:768
T:51457 | CH:1 | PC:007 | NOTE G-4 wait:768
T:52225 | CH:0 | PC:000 | VOLUME val:10
T:52225 | CH:0 | PC:002 | INST id:0
T:52225 | CH:0 | PC:004 | NOTE C-4 wait:768
T:52225 | CH:1 | PC:000 | VOLUME val:8
T:52225 | CH:1 | PC:002 | INST id:0
T:52225 | CH:1 | PC:004 | NOTE E-4 wait:768
T:52993 | CH:0 | PC:007 | NOTE D-4 wait:768
T:52993 | CH:1 | PC:007 | NOTE G-4 wait:768
T:53761 | CH:0 | PC:00A | NOTE E-4 wait:768
T:53761 | CH:1 | PC:000 | VOLUME val:8
T:53761 | CH:1 | PC:002 | INST id:0
T:53761 | CH:1 | PC:004 | NOTE E-4 wait:768
T:54529 | CH:0 | PC:00D | NOTE F-4 wait:768
T:54529 | CH:1 | PC:007 | NOTE G-4 wait:768
T:55297 | CH:0 | PC:000 | VOLUME val:10
T:55297 | CH:0 | PC:002 | INST id:0
T:55297 | CH:0 | PC:004 | NOTE C-4 wait:768
T:55297 | CH:1 | PC:000 | VOLUME val:8
T:55297 | CH:1 | PC:002 | INST id:0
T:55297 | CH:1 | PC:004 | NOTE E-4 wait:768
T:56065 | CH:0 | PC:007 | NOTE D-4 wait:768
T:56065 | CH:1 | PC:007 | NOTE G-4 wait:768
T:56833 | CH:0 | PC:00A | NOTE E-4 wait:768
T:56833 | CH:1 | PC:000 | VOLUME val:8
T:56833 | CH:1 | PC:002 | INST id:0
T:56833 | CH:1 | PC:004 | NOTE E-4 wait:768
T:57601 | CH:0 | PC:00D | NOTE F-4 wait:768
T:57601 | CH:1 | PC:007 | NOTE G-4 wait:768
T:58369 | CH:0 | PC:000 | VOLUME val:10
T:58369 | CH:0 | PC:002 | INST id:0
T:58369 | CH:0 | PC:004 | NOTE C-4 wait:768
T:58369 | CH:1 | PC:000 | VOLUME val:8
T:58369 | CH:1 | PC:002 | INST id:0
T:58369 | CH:1 | PC:004 | NOTE E-4 wait:768
T:59137 | CH:0 | PC:007 | NOTE D-4 wait:768
T:59137 | CH:1 | PC:007 | NOTE G-4 wait:768
T:59905 | CH:0 | PC:00A | NOTE E-4 wait:768
T:59905 | CH:1 | PC:000 | VOLUME val:8
T:59905 | CH:1 | PC:002 | INST id:0
T:59905 | CH:1 | PC:004 | NOTE E-4 wait:768
T:60673 | CH:0 | PC:00D | NOTE F-4 wait:768
T:60673 | CH:1 | PC:007 | NOTE G-4 wait:768
T:61441 | CH:0 | PC:000 | VOLUME val:10
T:61441 | CH:0 | PC:002 | INST id:0
T:61441 | CH:0 | PC:004 | NOTE C-4 wait:768
T:61441 | CH:1 | PC:000 | VOLUME val:8
T:61441 | CH:1 | PC:002 | INST id:0
T:61441 | CH:1 | PC:004 | NOTE E-4 wait:768
T:62209 | CH:0 | PC:007 | NOTE D-4 wait:768
T:62209 | CH:1 | PC:007 | NOTE G-4 wait:768
T:62977 | CH:0 | PC:00A | NOTE E-4 wait:768
T:62977 | CH:1 | PC:000 | VOLUME val:8
T:62977 | CH:1 | PC:002 | INST id:0
T:62977 | CH:1 | PC:004 | NOTE E-4 wait:768
T:63745 | CH:0 | PC:00D | NOTE F-4 wait:768
T:63745 | CH:1 | PC:007 | NOTE G-4 wait:768
T:64513 | CH:0 | PC:000 | VOLUME val:10
T:64513 | CH:0 | PC:002 | INST id:0
T:64513 | CH:0 | PC:004 | NOTE C-4 wait:768
T:64513 | CH:1 | PC:000 | VOLUME val:8
T:64513 | CH:1 | PC:002 | INST id:0
T:64513 | CH:1 | PC:004 | NOTE E-4 wait:768
T:65281 | CH:0 | PC:007 | NOTE D-4 wait:768
T:65281 | CH:1 | PC:007 | NOTE G-4 wait:768
T:66049 | CH:0 | PC:00A | NOTE E-4 wait:768
T:66049 | CH:1 | PC:000 | VOLUME val:8
T:66049 | CH:1 | PC:002 | INST id:0
T:66049 | CH:1 | PC:004 | NOTE E-4 wait:768
T:66817 | CH:0 | PC:00D | NOTE F-4 wait:768
